Et,k2nd defect_Sinton_300,k2nd defect_Sinton_350,k2nd defect_Sinton_400,TauMinor2nd defect_Sinton_300,TauMinor2nd defect_Sinton_350,TauMinor2nd defect_Sinton_400,StdDev
-5.999999999999999778e-01,3.016080856200246672e+03,1.158524326551676950e+03,5.479207700297491783e+02,3.013734781111769711e-10,8.065429563744152017e-10,1.778210863287897051e-09,1.049611948136729325e+03
-5.939999999999999725e-01,2.391255767372641003e+03,9.493938076232684580e+02,4.602547020811835523e+02,3.800939389214812328e-10,9.840508233012851259e-10,2.116292868601351015e-09,8.196874803985803055e+02
-5.879999999999999671e-01,1.895847942750327093e+03,7.779897146324360619e+02,3.865941737839235657e+02,4.793738383010716420e-10,1.200621705795159812e-09,2.518648032619514215e-09,6.395001890979013979e+02
-5.819999999999999618e-01,1.503051755328483750e+03,6.375063301673176284e+02,3.247016587436136206e+02,6.045810400058663395e-10,1.464850107435917983e-09,2.997493476219635655e-09,4.983890264980970528e+02
-5.759999999999999565e-01,1.191613709369546768e+03,5.223656648167559524e+02,2.726970980030752116e+02,7.624839295459222727e-10,1.787220562907609512e-09,3.567367764834948649e-09,3.879626380977326789e+02
-5.699999999999999512e-01,9.446824519473490227e+02,4.279959792639260741e+02,2.290007910093306407e+02,9.616162473135517503e-10,2.180522837827198021e-09,4.245571685909918331e-09,3.016186399717217341e+02
-5.639999999999999458e-01,7.488969765268284391e+02,3.506502602321211270e+02,1.922854103253592086e+02,1.212736620433448979e-09,2.660358124234098918e-09,5.052692578845194413e-09,2.341643080200929887e+02
-5.579999999999999405e-01,5.936636829138655003e+02,2.872574427452161103e+02,1.614356824762319036e+02,1.529407173377155725e-09,3.245756069388138054e-09,6.013227997571767998e-09,1.815173526243546576e+02
-5.519999999999999352e-01,4.705831765884046263e+02,2.353004713803824188e+02,1.355145101872379882e+02,1.928721755229832542e-09,3.959926748843220372e-09,7.156327442101492888e-09,1.404699258540975961e+02
-5.459999999999999298e-01,3.729957925630295676e+02,1.927163588511706678e+02,1.137345069365861008e+02,2.432221964019261236e-09,4.831176863371471886e-09,8.516674395341156532e-09,1.085025454775663576e+02
