Et,k1st defect_crop_-40C,k1st defect_crop_-5C,k1st defect_crop_30C,ksingle defect_crop_65C,ksingle defect_crop_100C,TauMinor1st defect_crop_-40C,TauMinor1st defect_crop_-5C,TauMinor1st defect_crop_30C,TauMinorsingle defect_crop_65C,TauMinorsingle defect_crop_100C,StdDev
-5.999999999999999778e-01,nan,nan,9.953863579858916346e+05,5.539918665866764059e+04,2.238460065884191135e+04,nan,nan,1.879699828573065982e-04,1.931168416799803093e-04,2.296247149022534668e-04,nan
-5.969999999999999751e-01,nan,nan,8.873438709173883544e+05,4.997700992346786370e+04,2.038979502548337041e+04,nan,nan,1.879699638763762724e-04,1.931165274618702277e-04,2.296238742583757973e-04,nan
-5.939999999999999725e-01,nan,nan,7.910284606525361305e+05,4.508551158647948614e+04,1.857274795842689855e+04,nan,nan,1.879699425842916135e-04,1.931161791531482209e-04,2.296229513735702742e-04,nan
-5.909999999999999698e-01,nan,nan,7.051672545086508617e+05,4.067275317795458977e+04,1.691761926383851096e+04,nan,nan,1.879699186996295159e-04,1.931157930550725366e-04,2.296219382018991749e-04,nan
-5.879999999999999671e-01,nan,nan,6.286255391153353266e+05,3.669187954159634683e+04,1.540998027896188432e+04,nan,nan,1.879698919066951626e-04,1.931153650675673729e-04,2.296208259102121155e-04,nan
-5.849999999999999645e-01,nan,nan,5.603917644169731066e+05,3.310062132133270643e+04,1.403668808956816792e+04,nan,nan,1.879698618513481710e-04,1.931148906456689593e-04,2.296196048011158169e-04,nan
-5.819999999999999618e-01,nan,nan,4.995641753609646694e+05,2.986084614062419132e+04,1.278577095597848347e+04,nan,nan,1.879698281363190030e-04,1.931143647512428623e-04,2.296182642284032456e-04,nan
-5.789999999999999591e-01,nan,nan,4.453388946004736936e+05,2.693815370867626916e+04,1.164632394885686335e+04,nan,nan,1.879697903159555442e-04,1.931137817994609093e-04,2.296167925042059282e-04,nan
-5.759999999999999565e-01,nan,nan,3.969992987166600069e+05,2.430151055435165108e+04,1.060841388497229491e+04,nan,nan,1.879697478903288930e-04,1.931131355994648358e-04,2.296151767970562325e-04,nan
-5.729999999999999538e-01,nan,nan,3.539065475600288482e+05,2.192292050934540021e+04,9.662992734203522559e+03,nan,nan,1.879697002986206766e-04,1.931124192885887430e-04,2.296134030199714659e-04,nan
-5.699999999999999512e-01,nan,nan,3.154911415497940034e+05,1.977712744177633431e+04,8.801818742908375498e+03,nan,nan,1.879696469117043424e-04,1.931116252594370687e-04,2.296114557075804572e-04,nan
